nombre,url_imagen,categoria
C D R,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CDR.webp?v=1719938977,AUDIOVISUALES
C D RW REGRABABLE EN FELPA,,AUDIOVISUALES
Cabeza de cargador,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CABEZADECARGADOR.webp?v=1722030821,AUDIOVISUALES
CABLE BATERIA AUTO,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CABLEBATERIAAUTO.webp?v=1719939001,CACHARRERIA
Cable De poder,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CABLEDEPODER.webp?v=1722030873,AUDIOVISUALES
Cable FINO Para Celular,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CABLEUSBOR.webp?v=1722032267,AUDIOVISUALES
Cable para grabadora Fino,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CableparagrabadoraFino.webp?v=1719939026,ELECTRICOS
CABUYA BOLAS,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/cabuya.webp?v=1722035068,JUEGOS
CAIMAN MURANO,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CAIMAN_MURANO_PQ_STIDO.jpg?v=1720301646,FANTASIA
CAIMAN ENVEJECIDO DE PIEDRAS,,FANTASIA
Caiman jumbo 3 patas * 12,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CAIMANMED_3.webp?v=1722046048,FANTASIA
Caiman med * 12,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CAIMANMED_2.webp?v=1722046046,FANTASIA
Caiman mini * 12,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CAIMANMINI.jpg?v=1720305065,FANTASIA
CAIMAN MURANO UNIDAD,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CAIMANMURANOPQSTIDO.jpg?v=1722116351,FANTASIA
Caiman orejon 7 patas* 12 unidades,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CAIMAN7PATAS_2.webp?v=1722038217,FANTASIA
Caja de Clips,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CajadeClips.jpg?v=1720305105,PAPELERIA
Caja de guante nitrilo * 50,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/NITRILOGUANTES.jpg?v=1720913344,DROGUERIA
Caja plastica 2 * 4,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/Cajaplastica2-4INDUMA.jpg?v=1720305321,FERRETERIA
Caja Puntilla sencilla Fina,img/JeLyUTU.png,FERRETERIA
CAJA TAPABOCAS * 50,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CAJADETAPABOCAS50EMPACADOINDIVIDUAL.jpg?v=1721504793,DROGUERIA
Calculadora cassio Cientifica FX 82 MS,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CALCULADORA-CASSIO-CIENTIFICA.jpg?v=1722116617,PAPELERIA
CALCULADORA CASSIO MX,img/Sy0ZHnU.png,PAPELERIA
Calculadora Cassio Original Peq RL,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CalculadoraCassioOriginalPeq.jpg?v=1720305359,PAPELERIA
Calculadora de colgar,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CALCULADORASDECOLGAR.jpg?v=1720305609,PAPELERIA
Calculadora KADIO Cientifica,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CalculadoraKADIOCientifica_1.webp?v=1721505668,PAPELERIA
Calculadoras KADIO,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/Calculadoras_KD_815_pq_RL.jpg?v=1720305714,PAPELERIA
Candado de seguridad # 50,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CANDADODESEGURIDAD_50.webp?v=1722119680,FERRETERIA
Candados,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CANDADOS.png?v=1723319530,FERRETERIA
Candongas * 6 PARES,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CANDONGAS6PARES.jpg?v=1720307396,FANTASIA
CANDONGAS ACERO PAR,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CANDONGASPLATEADAS.jpg?v=1720307559,FANTASIA
Cañamo en madeja,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CANAMOS_EN_MADEJA.png?v=1722117809,CACHARRERIA
Cáñamo Rollo * 13 mts,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/CANAMOS13MTS_2.png?v=1722118618,CACHARRERIA
